"ID","Birth date...2","Development Treatment","Calan Treatment","Pen #","Initial BW","Final BW","DMI","ADG","Gest Length","Calved First 21 Days","1st Calf BW","Calving Ease","Calf Vigor","Birth date...15","Sire","SEX","Final Calf BW","HCW","REA","YG","BF"
600,12,4,2,4,76,43,46,71,8,2,18,1,1,17,3,2,23,28,26,59,81
602,44,6,1,3,5,61,59,59,8,2,22,2,1,20,1,1,50,55,22,70,87
604,15,6,3,4,27,59,25,46,8,2,15,1,1,20,1,1,27,32,54,22,42
606,5,6,1,4,82,1,3,13,12,2,14,1,1,32,3,1,12,17,13,45,59
610,24,4,2,1,99,42,50,47,4,2,19,1,2,9,2,2,38,43,24,18,10
611,23,3,2,1,18,84,70,86,8,2,8,1,1,20,3,2,44,49,40,60,75
617,19,6,1,1,14,25,5,27,8,2,15,1,1,24,1,2,44,49,45,17,44
618,32,6,2,3,1,78,65,88,7,2,12,1,1,17,1,2,54,59,84,17,34
620,17,4,3,4,92,64,45,79,6,2,26,2,1,14,3,2,57,62,94,3,2
622,23,3,1,1,45,69,71,39,4,2,11,1,3,9,3,2,26,31,92,2,6
634,34,4,3,3,98,70,69,82,11,2,30,3,2,29,1,2,44,49,11,48,33
637,18,3,1,4,79,33,72,56,11,2,8,1,1,26,2,1,4,9,37,35,65
638,31,3,1,2,65,13,8,56,7,2,17,2,1,17,3,1,45,50,77,23,58
640,35,4,3,1,3,80,52,91,10,2,23,1,1,26,2,2,30,35,18,25,16
645,3,3,3,1,97,73,18,85,4,2,18,1,3,9,3,1,16,21,50,22,51
648,29,4,3,2,86,55,60,73,7,2,7,1,1,17,1,1,2,7,4,21,18
650,5,6,3,3,27,58,54,45,4,2,9,1,1,9,3,1,20,25,52,11,15
651,36,3,2,2,24,82,63,74,9,2,25,1,2,23,3,2,56,61,69,18,20
652,28,4,1,2,92,31,66,44,19,1,26,1,1,38,1,2,28,33,6,54,43
653,31,3,1,4,56,69,39,30,6,2,27,1,3,14,3,1,33,38,73,25,62
661,32,6,3,2,10,79,62,87,14,2,13,1,1,35,3,2,15,20,43,21,42
662,36,4,2,3,94,50,51,56,11,2,13,1,1,26,2,2,44,49,45,17,44
663,3,6,1,2,77,2,7,18,3,2,6,1,2,9,1,1,7,12,30,17,22
666,42,6,2,2,86,56,40,77,13,2,11,1,1,35,1,2,50,55,68,9,4
667,10,3,3,2,25,83,22,74,13,2,33,1,1,35,3,2,57,62,34,26,14
668,22,4,2,2,35,90,74,91,7,2,12,1,3,20,2,2,42,47,46,37,50
669,30,3,2,4,93,48,67,55,3,2,1,1,3,7,1,1,82,4,2,27,27
670,11,6,3,3,85,11,42,31,8,2,15,1,1,24,1,2,44,49,45,17,44
672,33,3,2,3,7,40,29,41,3,2,5,1,1,7,2,1,17,22,35,44,70
675,12,4,1,3,83,10,44,33,15,2,8,1,1,41,2,2,14,19,29,63,84
676,19,4,1,4,75,21,53,52,10,2,24,1,1,26,1,2,34,39,16,46,49
677,5,4,1,1,90,51,61,64,10,2,15,1,1,26,2,2,64,69,80,14,19
679,43,3,1,3,41,68,55,43,12,2,15,1,1,32,3,2,32,37,79,50,86
680,11,3,3,4,39,76,56,51,8,2,9,1,3,20,2,1,9,14,75,7,13
682,5,4,3,1,67,37,37,83,13,2,11,1,1,32,2,1,24,29,86,8,21
683,36,6,3,1,80,44,15,67,8,2,11,1,3,20,3,1,9,14,8,29,26
685,3,6,2,1,95,46,49,54,7,2,16,1,1,17,3,2,11,16,31,28,46
694,47,6,2,4,82,58,68,86,10,2,16,1,1,26,1,1,42,47,60,30,48
695,5,4,2,2,80,36,32,60,9,2,18,1,3,23,1,2,53,58,27,39,23
699,11,3,3,3,74,30,19,63,13,2,14,1,1,35,2,1,5,10,41,6,3
702,12,1,2,2,33,82,23,69,10,2,28,1,1,24,1,2,10,15,1,39,40
703,25,5,2,1,20,77,27,75,12,2,2,1,1,27,3,2,46,51,49,62,80
705,5,2,3,3,45,61,46,86,8,2,15,1,1,24,1,2,1,6,5,15,5
707,39,1,1,2,45,61,28,32,13,2,15,1,1,30,1,2,63,68,67,47,55
709,13,2,1,4,60,81,33,36,6,2,20,1,1,12,3,1,29,34,17,52,61
710,9,5,2,3,89,53,11,72,12,2,18,1,1,30,2,2,74,79,45,48,56
711,24,2,3,1,84,39,5,62,6,2,20,1,1,12,1,1,44,49,59,40,41
712,5,2,3,3,45,61,46,86,8,2,15,1,1,24,1,2,44,49,45,17,44
717,7,1,2,2,19,88,41,92,5,2,18,1,1,10,3,1,44,49,45,17,44
723,9,1,1,4,4,47,20,53,10,2,12,1,1,24,1,1,52,57,48,52,61
725,19,5,1,2,8,41,58,42,11,2,22,2,1,30,2,2,38,43,15,41,44
726,21,1,1,1,9,14,34,21,10,2,17,1,1,24,2,1,43,48,38,49,57
727,5,2,3,3,45,61,46,86,8,2,15,1,1,24,1,2,44,49,45,17,44
728,23,2,3,3,31,93,73,95,13,2,31,1,2,33,3,2,44,49,45,17,44
730,36,2,2,4,10,68,16,76,7,2,15,1,1,12,1,1,76,81,62,62,80
731,20,2,2,3,15,67,57,70,9,2,14,1,1,21,2,2,42,47,25,61,76
732,5,2,3,3,45,61,46,86,8,2,15,1,1,24,1,2,44,49,45,17,44
734,25,5,1,3,69,12,3,53,7,2,23,1,1,15,3,2,44,49,45,17,44
738,5,1,2,1,11,78,13,85,14,2,25,1,1,36,1,2,61,66,39,41,44
741,36,5,1,1,64,6,4,49,10,2,15,2,1,24,2,2,44,49,45,17,44
747,48,5,3,2,71,33,17,81,8,2,21,1,1,18,1,2,64,69,83,31,25
752,50,1,3,2,2,63,9,70,8,2,2,1,1,24,1,2,67,72,82,31,25
753,5,2,1,1,30,74,64,59,10,2,10,1,1,24,3,1,14,19,76,24,17
758,47,2,2,1,88,65,12,89,2,2,26,1,4,3,1,2,44,49,45,17,44
759,18,2,3,4,73,25,1,61,12,2,20,1,1,30,3,2,29,34,78,20,13
760,26,5,3,4,72,28,2,68,6,2,18,1,1,12,1,1,13,18,9,53,63
761,13,5,1,3,70,20,46,57,6,2,15,1,1,15,1,1,71,76,81,41,44
762,16,2,2,3,48,87,24,55,12,2,20,1,1,30,1,2,77,82,100,46,53
763,34,5,2,2,81,34,10,61,17,2,4,1,2,42,2,1,27,32,36,65,82
764,24,5,3,1,66,38,14,90,3,2,32,3,5,4,3,2,44,49,45,17,44
766,28,1,2,4,22,71,35,65,7,2,11,1,1,15,3,1,35,40,65,17,9
767,37,1,3,3,12,72,21,80,3,2,19,3,1,5,3,2,65,70,32,52,61
770,1,2,1,4,57,79,36,38,8,2,28,1,1,18,3,2,68,73,98,16,8
774,23,1,1,3,54,89,72,58,12,2,25,1,1,30,1,2,63,68,91,42,47
776,41,2,3,2,58,92,47,87,8,2,19,1,1,24,1,2,70,75,57,55,71
777,40,1,3,4,63,94,75,94,6,2,11,1,1,15,3,1,21,26,7,60,74
782,13,1,1,3,29,47,30,37,8,2,24,2,3,18,1,1,69,74,23,56,72
786,24,5,2,4,91,60,43,78,7,2,15,1,1,21,1,1,47,52,28,51,60
788,15,5,3,4,87,62,38,85,12,2,22,1,1,27,1,2,62,67,64,32,28
789,8,5,3,1,38,86,31,71,10,2,16,1,1,24,3,1,25,30,42,49,57
790,44,1,3,1,44,91,48,86,11,2,12,2,1,27,1,1,49,54,45,46,53
791,47,2,3,3,21,70,6,66,5,2,10,1,1,12,2,1,8,13,10,23,16
792,47,2,1,2,78,8,26,34,6,2,9,1,1,12,3,1,6,11,20,41,44
798,7,2,2,2,23,85,64,84,5,2,8,1,1,8,1,1,37,42,3,57,73
800,38,2,3,4,28,29,46,23,15,2,28,1,2,34,6,2,51,56,85,13,31
804,47,2,3,2,32,37,46,25,5,2,16,1,1,34,5,1,59,64,72,20,32
805,3,2,1,1,16,49,46,50,4,2,15,1,1,6,4,1,55,60,88,17,38
806,5,5,3,4,13,23,46,28,21,1,24,1,1,40,6,1,18,23,44,69,88
809,17,2,2,2,59,54,46,16,12,2,18,1,1,31,6,1,36,41,58,43,64
810,45,1,3,3,43,75,46,48,9,2,22,1,1,19,6,2,39,44,51,36,50
812,9,2,1,2,34,17,46,14,11,2,26,1,1,22,5,2,58,63,47,33,30
813,27,1,2,3,26,26,46,19,12,2,24,1,1,31,6,2,48,53,19,66,78
815,50,2,2,3,76,43,46,78,7,2,15,1,1,11,5,2,44,49,71,25,52
817,33,2,2,1,96,58,46,66,1,2,15,1,1,1,6,2,73,78,71,62,79
820,6,1,3,4,59,24,46,5,12,2,30,1,1,25,6,2,79,1,96,48,75
821,48,1,3,1,61,10,46,2,8,2,15,1,1,24,6,2,23,28,55,17,24
822,46,1,2,1,45,27,46,12,2,2,12,1,1,2,5,1,41,46,70,10,12
823,5,2,1,3,86,20,46,40,9,2,14,1,1,19,6,2,63,68,66,27,36
824,5,2,2,4,50,66,46,34,13,2,34,1,1,31,5,2,44,49,45,17,44
826,19,5,1,3,49,16,46,6,13,2,14,1,1,31,6,2,75,80,87,20,29
832,50,2,3,2,36,5,46,1,11,2,15,1,1,22,4,2,66,71,53,64,77
836,33,1,2,2,17,25,46,26,10,2,35,3,1,25,6,2,80,2,95,30,39
841,5,1,2,4,20,22,46,22,6,2,8,1,2,34,5,1,50,55,89,27,69
842,31,1,1,3,18,18,46,20,11,2,9,1,1,28,4,1,40,45,97,1,7
843,42,2,2,4,52,32,46,11,9,2,20,1,1,16,5,2,60,65,56,35,35
848,50,2,2,1,37,27,46,15,13,2,14,1,1,31,6,1,83,5,21,4,1
852,17,5,3,3,40,15,46,9,20,1,3,1,3,39,6,1,44,49,45,17,44
854,26,2,1,4,42,19,46,10,4,2,3,1,2,6,6,1,22,27,14,58,68
855,2,2,3,1,47,57,46,29,16,2,9,1,1,37,4,1,61,66,63,34,45
861,28,1,1,4,62,9,46,4,18,1,8,1,1,43,4,1,31,36,83,12,37
863,19,1,1,1,38,55,46,35,9,2,29,1,1,22,6,1,78,83,99,19,67
869,26,1,3,1,52,61,46,24,9,2,14,1,1,16,5,1,61,66,74,38,59
872,5,2,1,3,51,4,46,3,8,2,22,1,5,16,5,1,44,49,45,17,44
877,18,5,2,2,6,3,46,7,9,2,13,1,1,16,4,1,19,24,90,5,11
878,49,2,2,3,55,30,46,8,8,2,16,1,1,16,5,1,63,68,33,67,83
884,14,1,1,2,53,35,46,13,8,2,17,1,1,16,4,2,81,3,93,68,85
885,3,5,1,2,53,45,46,16,10,2,22,1,1,22,6,2,72,77,61,53,54
888,42,2,3,2,46,35,46,15,4,2,22,1,2,6,5,2,44,49,45,17,44
889,5,2,3,3,96,7,46,17,8,2,15,1,1,24,1,2,44,49,45,17,44
898,4,2,1,1,68,52,46,93,7,2,13,1,1,13,6,1,3,8,12,46,66
